!EXCLAMATION-POINT = éksklemēśenpōnt
ADAMI = edami
ADAMIK = edamik
ADAMINA = edemíne
ADAMKUS = ádemkes
ADAMO = edamò
ADAMOWICZ = edamevic
ADAMS = ádemz
ADAMS' = ádemz
ADAMS'S = ádemziz
ADAMSKI = edámskí
ADAMSON = ádemsen
ADAMSTOWN = ádemstàn
ADAN = ēden
ADAPSO = edápsò
ADAPT = edápt
ADAPTABILITY = edáptebileti
ADAPTABLE = edáptebel
ADAPTAPLEX = edáptepléks
ADAPTATION = ádeptēśen
ADAPTATIONS = ádeptēśenz
ADAPTATIONS(1) = ádeptēśenz
ADAPTEC = edápték
ADAPTEC'S = edáptéks
ADAPTED = edáptid
ADAPTER = edápter
ADAPTERS = edápterz
ADAPTING = edáptiŋ
ADAPTIVE = edáptiv
ADAPTOR = edápter
ADAPTORS = edápterz
ADAPTS = edápts
ADAR = edar
ADARAND = áderánd
ADAS = ēdez
ADAY = edē
ADAZA = edaze
ADCOCK = edkok
ADCOX = edkoks
ADD = ád
ADDAIR = edér
ADDAMS = ádemz
ADDED = ádid
ADDENDUM = edéndem
ADDENDUMS = edéndemz
ADDEO = adiò
ADDER = áder
ADDERLEY = ederli
ADDICKS = ádiks
ADDICT = edikt
ADDICT(1) = ádikt
ADDICTED = ediktid
ADDICTING = ediktiŋ
ADDICTION = edikśen
ADDICTIONS = edikśenz
ADDICTIVE = ediktiv
ADDICTS = edikts
ADDICTS(1) = ádikts
ADDIDAS = edídes
ADDIDAS' = edídes
ADDIDAS'S = edídesiz
ADDIDASES = edídesiz
ADDIE = ádi
ADDING = ádiŋ
ADDINGTON = ádiŋten
ADDIS = adis
ADDIS-ABABA = adisebabe
ADDIS-ABABA(1) = adisebabe
ADDISON = ádisen
ADDISON'S = ádisenz
ADDITION = ediśen
ADDITIONAL = ediśenel
ADDITIONALLY = ediśenali
ADDITIONS = ediśenz
ADDITIVE = áditiv
ADDITIVES = áditivz
ADDLE = ádel
ADDLED = ádeld
ADDLEMAN = ádelmen
ADDRESS = ádrés
ADDRESS(1) = edrés
ADDRESSABLE = edrésebel
ADDRESSED = edrést
ADDRESSEE = ádrésí
ADDRESSES = ádrésiz
ADDRESSES(1) = edrésiz
ADDRESSING = edrésiŋ
ADDS = ádz
ADDUCI = edúci
ADDUCT = ádekt
ADDWEST = ádwést
ADDY = ádi
ADDYSTON = ádisten
ADE = ēd
ADEE = edí
ADEL = edél
ADELA = edéle
ADELAAR = ádelar
ADELAIDE = ádelēd
ADELANTO = edelantò
ADELBERT = edélbert
ADELE = edél
ADELE'S = edélz
ADELINE = ádelān
ADELIZZI = ádelízi
ADELL = edél
ADELL'S = edélz
ADELLE = edél
ADELMAN = ádelmen
ADELMAN(1) = édelmen
ADELMANN = ádelmen
ADELPHA = edélfe
ADELPHI = edélfi
ADELPHIA = edélfie
ADELPHIA'S = edélfiez
ADELSBERGER = ádilzberger
ADELSON = ádelsen
ADELSTEIN = ádelstān
ADELSTEIN(1) = ádelstin
ADEN = ēden
ADENA = ádine
ADENAUER = ēdenàr
ADENAUER(1) = ádenàr
ADENINE = ádenín
ADENOID = ádenōd
ADENOIDS = ádenōdz
ADENOSCAN = edéneskán
ADENOSINE = edénesín
ADENOVIRUS = edénevāres
ADEPT = edépt
ADEQUACY = ádekwesi
ADEQUATE = ádekwet
ADEQUATE(1) = ádekwēt
ADEQUATELY = ádekwitli
ADER = ēder
ADERHOLD = áderhòld
ADERHOLT = áderhòlt
ADERMAN = ádermen
ADES = ēdz
ADEY = ēdi
ADGER = ájer
ADHAM = ádhem
ADHERE = edhir
ADHERED = edhird
ADHERENCE = edhirens
ADHERENT = edhirent
ADHERENTS = edhirents
ADHERES = edhirz
ADHERING = edhiriŋ
ADHESION = edhíźen
ADHESIVE = edhísiv
ADHESIVE(1) = edhísiv
ADHESIVES = edhísivz
ADHESIVES(1) = edhísivz
ADIA = adie
ADID = edid
ADIDAS = edídes
ADIDAS'S = edídesiz
ADIEU = edú
ADIN = edin
ADINA = edíne
ADINE = edíni
ADINOLFI = edinòlfi
ADIOS = adiòs
ADIPOSE = ádepòs
ADIRONDACK = áderandek
ADISQ = edisk
ADISQ(1) = ēdisk
ADJACENT = ejēsent
ADJANI = edjani
ADJECTIVE = ájiktiv
ADJECTIVES = ájiktivz
ADJOIN = ejōn
ADJOINING = ejōniŋ
ADJOINS = ejōnz
ADJOURN = ejern
ADJOURNED = ejernd
ADJOURNING = ejerniŋ
ADJOURNMENT = ejernment
ADJOURNS = ejernz
ADJUDGE = ejaj
ADJUDGED = ejajd
ADJUDICATE = ejúdikēt
ADJUDICATED = ejúdekētid
ADJUDICATING = ejúdikētiŋ
ADJUDICATION = ejúdekēśen
ADJUNCT = ájaŋkt
ADJUNCTS = ájaŋkts
ADJUST = ejast
ADJUSTABLE = ejastebel
ADJUSTABLES = ejastebelz
ADJUSTED = ejastid
ADJUSTER = ejaster
ADJUSTERS = ejasterz
ADJUSTING = ejastiŋ
ADJUSTMENT = ejastment
ADJUSTMENTS = ejastments
ADJUSTS = ejasts
ADJUTANT = ájetent
ADKINS = ádkinz
ADKINSON = ádkinsen
ADKISON = ádkisen
ADKISSON = ádkisen
ADL-TABATABA = adeltabetabe
ADL-TABATABAI = adeltabetabā
ADLAI = edlai
ADLER = ádler
ADLER'S = ádlerz
ADLERS = ádlerz
ADLEY = ádli
ADLON = ádlen
ADLONG = ádlóŋ
ADMAN = ádmen
ADMEN = ádmen
ADMIN = ádmin
ADMINISTER = edminister
ADMINISTERED = edministerd
ADMINISTERING = edministeriŋ
ADMINISTERS = edministerz
ADMINISTRATE = edministrēt
ADMINISTRATING = edministrētiŋ
ADMINISTRATION = edministrēśen
ADMINISTRATION'S = edministrēśenz
ADMINISTRATIONS = edministrēśenz
ADMINISTRATIONS' = edministrēśenz
ADMINISTRATIVE = edministrētiv
ADMINISTRATIVELY = edministrētivli
ADMINISTRATOR = edministrēter
ADMINISTRATOR'S = edministrēterz
ADMINISTRATORS = edministrēterz
ADMINISTRATORS' = edministrēterz
ADMINS = ádminz
ADMIRA = edmāre
ADMIRA'S = edmārez
ADMIRABLE = ádmerebel
ADMIRABLE(1) = ádmrebel
ADMIRABLY = ádmerebli
ADMIRAL = ádmerel
ADMIRAL'S = ádmerelz
ADMIRALS = ádmerelz
ADMIRALTY = ádmerelti
ADMIRATION = ádmerēśen
ADMIRATIONS = ádmerēśenz
ADMIRE = edmār
ADMIRED = edmāerd
ADMIRER = edmārer
ADMIRERS = edmārerz
ADMIRES = edmārz
ADMIRING = edmāriŋ
ADMIRINGLY = edmāriŋli
ADMISSIBILITY = edmisebileti
ADMISSIBLE = edmisebel
ADMISSION = edmiśen
ADMISSION(1) = edmiśen
ADMISSIONS = edmiśenz
ADMISSIONS(1) = edmiśenz
ADMIT = edmit
ADMITS = edmits
ADMITTANCE = edmitens
ADMITTED = edmited
ADMITTEDLY = edmitidli
ADMITTING = edmitiŋ
ADMITTING(1) = edmitiŋ
ADMONISH = edmoniś
ADMONISHED = edmoniśt
ADMONISHES = edmoniśiz
ADMONISHING = edmoniśiŋ
ADMONISHMENT = edmoniśmént
ADMONITION = ádmeniśen
ADMONITIONS = ádmeniśenz
ADMONITORY = ádmónitori
ADNAN = ádnen
ADNEY = ádni
ADO = edú
ADOBE = edòbi
ADOBE'S = edòbiz
ADOLESCENCE = ádelésens
ADOLESCENCE(1) = ádòlésens
ADOLESCENT = ádelésent
ADOLESCENT(1) = ádòlésent
ADOLESCENTS = ádelésents
ADOLESCENTS(1) = ádòlésents
ADOLF = ēdelf
ADOLF'S = ēdelfs
ADOLFO = edolfò
ADOLPH = ēdólf
ADOLPHA = edòlfe
ADOLPHSON = ádòlfsen
ADOLPHUS = edólfes
ADON = edón
ADONIA = edònie
ADONIS = edones
ADOPT = edopt
ADOPTABLE = edoptebel
ADOPTED = edopted
ADOPTEE = edoptí
ADOPTEES = edoptíz
ADOPTER = edopter
ADOPTERS = edopterz
ADOPTING = edoptiŋ
ADOPTION = edopśen
ADOPTIONS = edopśenz
ADOPTIVE = edoptiv
ADOPTS = edopts
ADOR = edor
ADORA = edore
ADORABELLE = áderebel
ADORABLE = edorebel
ADORATION = áderēśen
ADORE = edor
ADORED = edord
ADOREE = ederí
ADOREES = ederíz
ADORES = edorz
ADORING = edoriŋ
ADORN = edorn
ADORNA = edorne
ADORNED = edornd
ADORNING = edorniŋ
ADORNMENT = edornment
ADORNO = edornò
ADORNS = edornz
ADRA = ēdre
ADRAGNA = edragne
ADRDA = ēderde
ADREA = adrie
ADRENAL = edrínel
ADRENALIN = edrénelin
ADRENALINE = edrénelen
ADRIA = adrie
ADRIAN = ēdrien
ADRIANA = ēdriáne
ADRIANCE = edríens
ADRIANO = edrianò
ADRIATIC = ēdriátik
ADRIEL = edríl
ADRIENNE = edrién
ADRIFT = edrift
ADROIT = edrōt
ADROITLY = edrōtli
ADS = ádz
ADS' = ádz
ADSIT = ádsit
ADSS = áds
ADSS(1) = ēdíésés
ADSTAR = ádster
ADSTEAM = ádstim
ADTEC = ádték
ADULATE = ájelēt
ADULATION = ájelēśen
ADULIADAE = edúliadē
ADULT = edalt
ADULT(1) = ádelt
ADULTERATE = edalterēt
ADULTERATED = edalterētid
ADULTERATES = edalterēts
ADULTERATION = edalterēśen
ADULTERER = edalterer
ADULTERERS = edaltererz
ADULTEROUS = edalteres
ADULTERY = edalteri
ADULTHOOD = edalthud
ADULTS = edalts
ADULTS(1) = ádelts
ADULTS' = edalts
ADULTS'(1) = ádelts
ADUSDUR = ádesder
ADVACARE = ádvekér
ADVALUE = ádvelú
ADVANCE = edváns
ADVANCE'S = edvánsiz
ADVANCED = edvánst
ADVANCEMENT = edvánsment
ADVANCEMENTS = edvánsments
ADVANCER = edvánser
ADVANCERS = edvánserz
ADVANCES = edvánsiz
ADVANCING = edvánsiŋ
ADVANI = edvani
ADVANTA = edvánte
ADVANTA(1) = edvánte
ADVANTA'S = edvántez
ADVANTA'S(1) = edvántez
ADVANTAGE = edvántij
ADVANTAGED = edvántijd
ADVANTAGEOUS = ádventējes
ADVANTAGES = edvántijiz
ADVANTEST = edvántest
ADVECTION = edvékśen
ADVENT = ádvént
ADVENTIST = ádvéntist
ADVENTISTS = ádvéntists
ADVENTISTS(1) = ádvéntis
ADVENTURE = edvéncer
ADVENTURE(1) = edvéncer
ADVENTURER = edvéncerer
ADVENTURER(1) = edvéncerer
ADVENTURERS = edvéncererz
ADVENTURERS(1) = edvéncererz
ADVENTURES = edvéncerz
ADVENTURESOME = edvéncersem
ADVENTURISM = edvéncerizem
ADVENTUROUS = edvénceres
ADVERB = ádverb
ADVERBIAL = edverbiel
ADVERBS = ádverbz
ADVERSARIAL = ádversériel
ADVERSARIES = ádversériz
ADVERSARY = ádverséri
ADVERSE = edvers
ADVERSE(1) = ádvers
ADVERSE(2) = ádvers
ADVERSELY = edversli
ADVERSITY = edversití
ADVERTISE = ádvertāz
ADVERTISED = ádvertāzd
ADVERTISED(1) = ádvertāzd
ADVERTISEMENT = edvertezment
ADVERTISEMENT(1) = ádvertāzment
ADVERTISEMENTS = ádvertāzments
ADVERTISER = ádvertāzer
ADVERTISER'S = ádvertāzerz
ADVERTISERS = ádvertāzerz
ADVERTISERS' = ádvertāzerz
ADVERTISES = ádvertāziz
ADVERTISING = ádvertāziŋ
ADVERTISING'S = ádvertāziŋz
ADVERTORIAL = ádvertoriel
ADVERTORIALS = ádvertorielz
ADVEST = ádvést
ADVICE = edvās
ADVICE(1) = edvās
ADVIL = ádvil
ADVIL'S = ádvilz
ADVISABILITY = ádvāzebiliti
ADVISABLE = edvāzebel
ADVISE = edvāz
ADVISE(1) = edvāz
ADVISED = edvāzd
ADVISED(1) = edvāzd
ADVISEDLY = edvāzedli
ADVISEDLY(1) = edvāzedli
ADVISEMENT = edvāzment
ADVISER = edvāzer
ADVISER'S = edvāzerz
ADVISERS = edvāzerz
ADVISERS' = ádvāzerz
ADVISES = edvāziz
ADVISING = edvāziŋ
ADVISOR = edvāzer
ADVISORIES = edvāzeriz
ADVISORS = edvāzerz
ADVISORY = edvāzeri
ADVO = ádvò
ADVOCACY = ádvekesi
ADVOCATE = ádveket
ADVOCATE(1) = ádvekēt
ADVOCATE'S = ádvekets
ADVOCATED = ádvekētid
ADVOCATES = ádvekets
ADVOCATES(1) = ádvekēts
ADVOCATING = ádvekētiŋ
ADVOCATION = ádvekēśen
ADWEEK = ádwik
ADWELL = edwél
ADY = ēdi
ADZ = ádz
AE = ē
AEGEAN = ējíen
AEGERTER = égerter
AEGIS = íjes
AEGON = ēgen
AELTUS = áltes
AENEAS = ánies
AENEID = eníid
AEOLUS = éòlus
AEQUITRON = ēkwitren
AER = ér
AERIAL = ériel
AERIALS = érielz
AERIE = éri
AERIEN = érien
AERIENS = érienz
AERITALIA = éritálye
AERO = érò
AEROBATIC = érebátik
AEROBATICS = érebátiks
AEROBIC = éròbik
AEROBICALLY = éròbikli
AEROBICS = eròbiks
AERODROME = éredròm
AERODROMES = éredròmz
AERODYNAMIC = éròdānámik
AERODYNAMICALLY = éròdānámikli
AERODYNAMICIST = éròdānámisist
AERODYNAMICISTS = éròdānámisists
AERODYNAMICISTS(1) = éròdānámisis
AERODYNAMICS = éròdānámiks
AERODYNE = éredān
AERODYNE'S = éredānz
AEROFLOT = éròflot
AEROFLOT'S = éròflots
AEROGENOSA = érejenòse
AEROJET = éròjét
AEROJETS = éròjéts
AEROLIFT = éròlift
AEROLIFTS = éròlifts
AEROLINEAS = éròlinies
AEROMAR = éremer
AEROMAR(1) = éròmer
AEROMEXICO = éròméksikò
AEROMEXICO'S = éròméksikòz
AERONAUTIC = érònatek
AERONAUTICAL = érònatekel
AERONAUTICAL(1) = érenatekel
AERONAUTICAS = érònótikes
AERONAUTICS = érenótiks
AEROPERU = éròpērú
AEROPERU'S = éròpērúz
AEROQUIP = érekwip
AEROSMITH = éròsmiŧ
AEROSMITH'S = éròsmiŧs
AEROSOL = éresol
AEROSOLS = éresolz
AEROSPACE = éròspēs
AEROSPACE'S = éròspēsiz
AEROSPATIALE = éròspasial
AEROSPATIALE'S = éròspasialz
AEROSTAR = éròstar
AEROSTAR'S = éròstarz
AEROSTARS = éròstarz
AEROSTAT = éròstát
AEROSTAT'S = éròstáts
AEROSTATS = éròstáts
AEROTECH = éròték
AEROVIAS = éròvíez
AERTS = érts
AESCHELUS = éskeles
AESCHLIMAN = éślimen
AESOP = ísop
AESOP'S = ísops
AESTHENOPIA = esŧenópye
AESTHETE = ésŧit
AESTHETE'S = ésŧits
AESTHETES = ésŧits
AESTHETIC = ésŧétik
AESTHETICALLY = ésŧétikli
AESTHETICS = ésŧétiks
AETNA = étne
AETNA'S = étnez
AFANASYEV = áfenēsiév
AFAR = efar
AFFABLE = áfebel
AFFABLY = áfebli
AFFAIR = efér
AFFAIR'S = eférz
AFFAIRS = eférz
AFFECT = efékt
AFFECTATION = áféktēśen
AFFECTED = eféktid
AFFECTING = eféktiŋ
AFFECTION = efékśen
AFFECTIONATE = efékśenet
AFFECTIONATELY = efékśenetli
AFFECTIONS = efékśenz
AFFECTIVE = eféktiv
AFFECTIVELY = eféktivli
AFFECTS = efékts
AFFELDT = áfilt
AFFERENT = áferent
AFFIANT = áfient
AFFIDAVIT = áfedēvet
AFFIDAVITS = áfidēvits
AFFILIATE = efiliēt
AFFILIATE(1) = efiliet
AFFILIATE'S = efiliēts
AFFILIATED = efiliētid
AFFILIATED'S = efiliētidz
AFFILIATES = efiliets
AFFILIATES(1) = efiliēts
AFFILIATES' = efiliits
AFFILIATING = efiliētiŋ
AFFILIATION = efiliēśen
AFFILIATIONS = efiliēśenz
AFFINE = efān
AFFINED = efānd
AFFINES = efānz
AFFINING = efāniŋ
AFFINITIES = efinetiz
AFFINITY = efiniti
AFFIRM = eferm
AFFIRMATION = áfermēśen
AFFIRMATIONS = áfermēśenz
AFFIRMATIVE = efermetiv
AFFIRMATIVELY = efermetivli
AFFIRMED = efermd
AFFIRMING = efermiŋ
AFFIRMS = efermz
AFFIX = áfiks
AFFIX(1) = efiks
AFFIXED = efikst
AFFIXES = áfiksiz
AFFIXES(1) = efiksiz
AFFIXING = efiksiŋ
AFFLECK = áflik
AFFLERBACH = áflerbak
AFFLICT = eflikt
AFFLICTED = efliktid
AFFLICTING = efliktiŋ
AFFLICTION = eflikśen
AFFLICTIONS = eflikśenz
AFFLICTS = eflikts
AFFLIK = áflik
AFFLUENCE = áflúens
AFFLUENT = áflúent
AFFOLTER = áfòlter
AFFORD = eford
AFFORDABILITY = efordebileti
AFFORDABLE = efordebel
AFFORDABLY = efordebli
AFFORDED = eforded
AFFORDING = efordiŋ
AFFORDS = efordz
AFFRICATE = áfreket
AFFRICATES = áfrekets
AFFRICATION = áfrekēśen
AFFRONT = efrant
AFFRONTED = efrantid
AFFRONTING = efrantiŋ
AFFRONTS = efrants
AFFYMAX = áfimáks
AFGHAN = áfgán
AFGHANI = efgani
AFGHANI'S = efgániz
AFGHANIS = efgániz
AFGHANISTAN = efgánestán
AFGHANISTAN'S = efgánestánz
AFGHANISTANS = efgánestánz
AFGHANS = áfgánz
AFHELDT = áfélt
AFICIONADO = efíśyenadò
AFICIONADOS = efiśenadòz
AFIELD = efíld
AFIRE = efār
AFLAME = eflēm
AFLATOXIN = áfletoksin
AFLOAT = eflòt
AFLUTTER = eflater
AFMED = áfméd
AFONSO = efonsò
AFOOT = efut
AFOREMENTIONED = eforménśend
AFORESAID = eforséd
AFORETHOUGHT = eforŧot
AFOUL = efàl
AFRAID = efrēd
AFRESH = efréś
AFRICA = áfrike
AFRICA'S = áfrikez
AFRICAN = áfriken
AFRICAN-AMERICAN = áfrikenemériken
AFRICAN-AMERICANS = áfrikenemérikenz
AFRICANIST = áfrikenist
AFRICANIST'S = áfrikenists
AFRICANISTS = áfrikenists
AFRICANIZE = áfrekenāz
AFRICANIZED = áfrekenāzd
AFRICANS = áfrikenz
AFRIDI = efrídi
AFRIKAANS = áfrekanz
AFRIKANER = áfrekaner
AFRIKANERDOM = áfrekanerdem
AFRIKANERS = áfrikanerz
AFRO = áfrò
AFROAMERICAN = áfròemériken
AFROAMERICANS = áfròemérikenz
AFROCENTRIC = áfròséntrik
AFSANE = efsanē
AFSANE'S = efsanēz
AFSHAR = áfśer
AFSHAR'S = áfśerz
AFT = áft
AFTER = áfter
AFTER-ROOM = áfterrúm
AFTERALL = áfteral
AFTERBURNER = áfterberner
AFTERBURNERS = áfterbernerz
AFTEREFFECT = áfterefékt
AFTEREFFECTS = áfterefékts
AFTERGLOW = áfterglò
AFTERGLOWS = áfterglòz
AFTERHOURS = áfterhàerz
AFTERIMAGE = áfterimij
AFTERIMAGES = áfterimijiz
AFTERLIFE = áfterlāf
AFTERLIVES = áfterlāvz
AFTERMARKET = áftermarkit
AFTERMARKETS = áftermarkits
AFTERMATH = áftermáŧ
AFTERMATHS = áftermáŧs
AFTERNOON = áfternún
AFTERNOON'S = áfternúnz
AFTERNOONS = áfternúnz
AFTERSHAVE = áfterśēv
AFTERSHAVES = áfterśēvz
AFTERSHOCK = áfterśok
AFTERSHOCKS = áfterśoks
AFTERTASTE = áftertēst
AFTERTASTES = áftertēsts
AFTERTASTES(1) = áftertēs
AFTERTAX = áftertáks
AFTERTHOUGHT = áfterŧot
AFTERTHOUGHT(1) = áfterŧót
AFTERTHOUGHTS = áfterŧots
AFTERTHOUGHTS(1) = áfterŧóts
AFTERWARD = áfterwerd
AFTERWARDS = áfterwerdz
AFULA = efúle
AFULA'S = efúlez
AG = ág
AG(1) = ēgí
AG'S = ágz
AGA = age
AGACHE = ágec
AGACHE'S = ágecez
AGACHES = ágecez
AGAIN = egén
AGAIN(1) = egēn
AGAINST = egénst
AGAINST(1) = egēnst
AGAMEMNON = ágemémnon
AGAMEMNON'S = ágemémnonz
AGAN = ēgen
AGANA = egane
AGANBEGYAN = ágenbégyen
AGANS = agenz
AGAPE = egēp
AGAR = ēger
AGARD = ágerd
AGARWAL = agerwel
AGASP = egásp
AGASSI = ágesi
AGASSIZ = egásiz
AGATE = áget
AGATES = ágets
AGATHA = ágeŧe
AGAWAM = ágewam
AGCO = ágkò
AGE = ēj
AGE'S = ējiz
AGED = ējd
AGED(1) = ējid
AGEE = ējí
AGEE'S = ējiz
AGELESS = ējles
AGEMATSU = ágemátsú
AGENCE = ájens
AGENCIES = ējensiz
AGENCIES' = ējensiz
AGENCY = ējensi
AGENCY'S = ējensiz
AGENDA = ejénde
AGENDAS = ejéndez
AGENT = ējent
AGENT'S = ējents
AGENTS = ējents
AGENTS' = ējents
AGER = ējer
AGERATUM = ejéretem
AGERATUMS = ejéretemz
AGERS = ējerz
AGERS' = ējerz
AGERTON = ēgerten
AGES = ējiz
AGFA = ágfe
AGGARWAL = egarwel
AGGIE = ági
AGGIES = ágiz
AGGLOMERATE = eglomerēt
AGGLOMERATION = eglomerēśen
AGGLUTINATE = eglútinēt
AGGRANDIZE = egrándāz
AGGRANDIZEMENT = ágrendāzment
AGGRANDIZEMENT(1) = egrándāzment
AGGRANDIZING = ágrendāziŋ
AGGRANDIZING(1) = egrándāziŋ
AGGRAVATE = ágrevēt
AGGRAVATED = ágrevētid
AGGRAVATES = ágrevēts
AGGRAVATING = ágrevētiŋ
AGGRAVATION = ágrevēśen
AGGREGATE = ágreget
AGGREGATE(1) = ágregēt
AGGREGATED = ágregēted
AGGREGATES = ágregits
AGGREGATES(1) = ágregēts
AGGREGATION = ágregēśen
AGGRESS = egrés
AGGRESSION = egréśen
AGGRESSIONS = egréśenz
AGGRESSIVE = egrésiv
AGGRESSIVELY = egrésivli
AGGRESSIVENESS = egrésivnes
AGGRESSIVITY = egrésiviti
AGGRESSOR = egréser
AGGRESSORS = egréserz
AGGREY = egrē
AGGRIEVE = egrív
AGGRIEVED = egrívd
AGGY = ági
AGHAST = egást
AGHAZADEH = ágezadé
AGIE = ági
AGILDO = egildò
AGILE = ájel
AGILIS = ejiles
AGILITY = ejileti
AGIN = ejín
AGINCOURT = ájenkort
AGING = ējiŋ
AGINS = ēginz
AGIP = ēgip
AGITATE = ájetēt
AGITATED = ájetēted
AGITATING = ájetētiŋ
AGITATION = ájetēśen
AGITATOR = ájetēter
AGITATORS = ájitēterz
AGITPROP = ájetpróp
AGIUS = ējiis
AGLEAM = eglím
AGLER = ágler
AGLITTER = egliter
AGLO = eglò
AGLOW = eglò
AGNA = ágne
AGNE = ágni
AGNELLA = ágnéle
AGNELLI = ágnéli
AGNELLI'S = ágnéliz
AGNELLIS = ágnéliz
AGNELLO = ágnélò
AGNER = ágner
AGNES = ágnis
AGNETA = egnéte
AGNEW = ágnú
AGNEW(1) = ágnyú
AGNICO = ágnikò
AGNOR = ágner
AGNOS = ágnòs
AGNOSIO = egnòsiò
AGNOSTIC = egnostik
AGNOSTICS = egnostiks
AGO = egò
AGOG = egog
AGOGLIA = egoglie
AGONIES = ágeniz
AGONIST = ágenist
AGONISTS = ágenists
AGONISTS(1) = ágenis
AGONIZE = ágenāz
AGONIZED = ágenāzd
AGONIZES = ágenāziz
AGONIZING = ágenāziŋ
AGONIZINGLY = ágenāziŋlí
AGONY = ágeni
AGORA = ágere
AGORAPHOBIA = egorefòbie
AGOSTA = egòste
AGOSTINELLI = egòstinéli
AGOSTINI = egòstíni
AGOSTINO = egóstínò
AGOSTO = egòstò
AGOURA = egúre
AGOURON = egúren
AGRA = ágre
AGRARIAN = egrérien
AGRARIANISM = egrérienizem
AGRAWAL = egráwel
AGREE = egrí
AGREEABLE = egríebel
AGREED = egríd
AGREEING = egríiŋ
AGREEMENT = egríment
AGREEMENT'S = egríments
AGREEMENTS = egríments
AGREES = egríz
AGREGABLE = egréjebel
AGREGIOUS = egríjies
AGRESOURCE = agrésors
AGRESOURCE(1) = ágresors
AGRESTA = egréste
AGRESTI = egrésti
AGREXCO = egrékskò
AGRI = ágri
AGRIBANK = ágribáŋk
AGRIBUSINESS = ágrebiznes
AGRICO = egríkò
AGRICOLA = ágrikòle
AGRICOLE = ágrikòl
AGRICULTURAL = ágrikalcerel
AGRICULTURALIST = ágrikalcerelest
AGRICULTURALLY = ágrikalcereli
AGRICULTURE = ágrikalcer
AGRICULTURE'S = ágrikalcerz
AGRIFUEL = ágrefyúl
AGRIFUELS = ágrefyúlz
AGRIGENETICS = ágrejenétiks
AGRIPPA = egripe
AGRIVISOR = ágrevāzer
AGRO = ágrò
AGROCHEMICAL = ágròkémikel
AGROCHEMICALS = ágròkémikelz
AGROINDUSTRIAL = ágròidastriel
AGROKOMERC = ágrekòmerk
AGRONOMIST = egronemist
AGRONOMISTS = egronemists
AGRONOMISTS(1) = egronemis
AGROSIAND = egròsiend
AGROUND = egrànd
AGRUSA = egrúse
AGUA = agwe
AGUACATE = ágwekēt
AGUADILLA = agwedile
AGUADO = egwadò
AGUANGA = egwange
AGUASCALIENTES = agweskelyéntés
AGUAYO = egwēò
AGUDELO = egúdēlò
AGUERO = egérò
AGUIAR = agwier
AGUILA = egwíle
AGUILAR = ágeler
AGUILERA = egwilére
AGUILLAR = ágeler
AGUILLARD = ágilerd
AGUILLON = egwilón
AGUILO = egwílò
AGUINAGA = egúinage
AGUIRRA = egwire
AGUIRRA'S = egwirez
AGUIRRE = egwirē
AGUIRRE(1) = egwirē
AGUIRRE'S = egwirēz
AGUIRRE'S(1) = egwirēz
AGUSTIN = egóstin
AH = a
AHA = aha
AHAB = ēháb
AHAH = ahe
AHARON = áheren
AHART = ehart
AHASUERUS = eháśewéres
AHAULSIE = ehalsi
AHEAD = ehéd
AHEARN = ehern
AHERIN = aerin
AHERN = ehern
AHERNE = ehern
AHH = a
AHL = al
AHLBERG = alberg
AHLBORN = albern
AHLEN = elēn
AHLEN(1) = alen
AHLERS = alerz
AHLES = ēelz
AHLF = alf
AHLGREN = algrén
AHLGRIM = algrim
AHLIN = alin
AHLMAN = almen
AHLQUIST = alkwist
AHLQUIST'S = alkwists
AHLQUISTS = alkwists
AHLSTRAND = alstrend
AHLSTROM = alstrem
AHLUWALIA = elúalye
AHMAD = amed
AHMADI = emadi
AHMANN = amen
AHMANSON = amensen
AHMANSON'S = amensenz
AHMANSONS = amensenz
AHMED = amed
AHMED(1) = améd
AHMEEK = amik
AHMOUDI = emúdi
AHN = án
AHNELL = enél
AHNER = aner
AHO = ahò
AHOLA = áhele
AHOLD = ehòld
AHOLD'S = ehòldz
AHOLDS = ehòldz
AHONEN = ehònen
AHOSKIE = ehóski
AHOY = ehō
AHR = ar
AHRANAT = eranet
AHREN = aren
AHRENDT = arint
AHRENS = arinz
AHS = az
AHSAHKA = esake
AHUJA = ehúye
AHUMADA = eyúmade
AHWAHNEE = ewani
AI = ā
AI(1) = ēā
AICHELE = ākel
AICHER = āker
AICHI = eíci
AICKIN = ēkin
AID = ēd
AID'S = ēdz
AIDA = āíde
AIDAN = ēden
AIDE = ēd
AIDE'S = ēdz
AIDED = ēdid
AIDEN = ēdén
AIDENN = ēdén
AIDES = ēdz
AIDES' = ēdz
AIDID = ādíd
AIDID'S = ādídz
AIDING = ēdiŋ
AIDS = ēdz
AIELLO = āélò
AIESHA = āśe
AIGNER = ēner
AIGNER(1) = ényē
AIGNER(2) = ēkner
AIGUEBELLE = āgebél
AIKEN = ēkin
AIKENS = ēkinz
AIKEY = ēki
AIKIN = ēkin
AIKINS = ākinz
AIKMAN = ēkmen
AIKOFF = ākóf
AIL = ēl
AILEE = ēlí
AILEEN = ālín
AILERON = ēleran
AILERONS = ēleranz
AILES = ālz
AILES(1) = ēlz
AILEY = ēli
AILING = ēliŋ
AILMENT = ēlment
AILMENTS = ēlments
AILOR = ēler
AILS = ēlz
AILSA = ēlse
AILUROPHILE = ēlurefāl
AILUROPHILE(1) = ēlurefāel
